order_item_id,order_id,dish_id,dish_name,quantity,unit_price,subtotal,cost
OI001031_103,O001031,D0025,排骨汤,3,76.89,230.67,64.71
OI001032_104,O001032,D0015,米饭,1,52.56,52.56,20.34
OI001032_105,O001032,D0004,红烧肉,1,56.3,56.3,23.16
OI001032_106,O001032,D0018,包子,1,78.11,78.11,24.44
OI001032_107,O001032,D0026,鸡汤,1,71.37,71.37,23.87
OI001033_108,O001033,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001034_109,O001034,D0039,红豆沙,2,9.56,19.12,8.34
OI001034_110,O001034,D0017,炒饭,1,40.09,40.09,10.55
OI001034_111,O001034,D0023,紫菜蛋花汤,1,36.96,36.96,16.61
OI001035_112,O001035,D0003,麻婆豆腐,1,16.18,16.18,5.27
OI001035_113,O001035,D0019,饺子,1,47.94,47.94,20.47
OI001035_114,O001035,D0008,小炒黄牛肉,1,86.82,86.82,36.56
OI001035_115,O001035,D0020,馒头,3,44.71,134.13,40.65
OI001035_116,O001035,D0027,豆腐汤,3,38.78,116.34,42.96
OI001035_117,O001035,D0034,冰淇淋,1,48.61,48.61,13.19
OI001036_118,O001036,D0018,包子,2,78.11,156.22,48.88
OI001036_119,O001036,D0039,红豆沙,2,9.56,19.12,8.34
OI001036_120,O001036,D0001,宫保鸡丁,3,72.75,218.25,54.84
OI001036_121,O001036,D0010,口水鸡,1,21.01,21.01,6.75
OI001036_122,O001036,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001037_123,O001037,D0019,饺子,3,47.94,143.82,61.41
OI001038_124,O001038,D0022,番茄蛋汤,3,54.77,164.31,70.59
OI001038_125,O001038,D0027,豆腐汤,1,38.78,38.78,14.32
OI001038_126,O001038,D0020,馒头,2,44.71,89.42,27.1
OI001038_127,O001038,D0018,包子,2,78.11,156.22,48.88
OI001038_128,O001038,D0023,紫菜蛋花汤,3,36.96,110.88,49.83
OI001038_129,O001038,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001039_130,O001039,D0030,橙汁,2,68.07,136.14,54.96
OI001039_131,O001039,D0026,鸡汤,1,71.37,71.37,23.87
OI001039_132,O001039,D0002,鱼香肉丝,1,41.81,41.81,12.78
OI001039_133,O001039,D0023,紫菜蛋花汤,2,36.96,73.92,33.22
OI001040_134,O001040,D0004,红烧肉,1,56.3,56.3,23.16
OI001040_135,O001040,D0008,小炒黄牛肉,2,86.82,173.64,73.12
OI001041_136,O001041,D0024,酸辣汤,1,48.76,48.76,13.08
OI001041_137,O001041,D0016,面条,1,26.32,26.32,6.75
OI001041_138,O001041,D0019,饺子,2,47.94,95.88,40.94
OI001041_139,O001041,D0023,紫菜蛋花汤,2,36.96,73.92,33.22
OI001041_140,O001041,D0014,蒜泥白肉,1,29.6,29.6,12.88
OI001041_141,O001041,D0030,橙汁,3,68.07,204.21,82.44
OI001042_142,O001042,D0030,橙汁,3,68.07,204.21,82.44
OI001042_143,O001042,D0027,豆腐汤,3,38.78,116.34,42.96
OI001043_144,O001043,D0010,口水鸡,3,21.01,63.03,20.25
OI001043_145,O001043,D0016,面条,2,26.32,52.64,13.5
OI001043_146,O001043,D0021,葱油饼,3,67.6,202.8,72.57
OI001043_147,O001043,D0022,番茄蛋汤,3,54.77,164.31,70.59
OI001043_148,O001043,D0017,炒饭,2,40.09,80.18,21.1
OI001044_149,O001044,D0018,包子,3,78.11,234.33,73.32
OI001044_150,O001044,D0039,红豆沙,3,9.56,28.68,12.51
OI001044_151,O001044,D0028,可乐,2,50.33,100.66,44.72
OI001045_152,O001045,D0016,面条,1,26.32,26.32,6.75
OI001045_153,O001045,D0039,红豆沙,1,9.56,9.56,4.17
OI001045_154,O001045,D0004,红烧肉,1,56.3,56.3,23.16
OI001045_155,O001045,D0024,酸辣汤,2,48.76,97.52,26.16
OI001045_156,O001045,D0018,包子,1,78.11,78.11,24.44
OI001046_157,O001046,D0024,酸辣汤,2,48.76,97.52,26.16
OI001047_158,O001047,D0033,柠檬水,2,29.07,58.14,20.36
OI001047_159,O001047,D0015,米饭,3,52.56,157.68,61.02
OI001047_160,O001047,D0020,馒头,1,44.71,44.71,13.55
OI001047_161,O001047,D0006,水煮鱼,3,31.45,94.35,35.46
OI001047_162,O001047,D0018,包子,3,78.11,234.33,73.32
OI001048_163,O001048,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001048_164,O001048,D0004,红烧肉,3,56.3,168.9,69.48
OI001048_165,O001048,D0008,小炒黄牛肉,3,86.82,260.46,109.68
OI001048_166,O001048,D0021,葱油饼,1,67.6,67.6,24.19
OI001049_167,O001049,D0029,雪碧,3,62.42,187.26,51.12
OI001049_168,O001049,D0035,蛋糕,3,31.88,95.64,36.12
OI001049_169,O001049,D0023,紫菜蛋花汤,2,36.96,73.92,33.22
OI001049_170,O001049,D0025,排骨汤,3,76.89,230.67,64.71
OI001049_171,O001049,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001049_172,O001049,D0031,奶茶,2,16.92,33.84,11.4
OI001050_173,O001050,D0016,面条,1,26.32,26.32,6.75
OI001050_174,O001050,D0031,奶茶,3,16.92,50.76,17.1
OI001050_175,O001050,D0020,馒头,3,44.71,134.13,40.65
OI001050_176,O001050,D0026,鸡汤,1,71.37,71.37,23.87
OI001050_177,O001050,D0004,红烧肉,3,56.3,168.9,69.48
OI001050_178,O001050,D0027,豆腐汤,3,38.78,116.34,42.96
OI001051_179,O001051,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001051_180,O001051,D0001,宫保鸡丁,3,72.75,218.25,54.84
OI001051_181,O001051,D0037,西米露,3,51.15,153.45,62.25
OI001051_182,O001051,D0016,面条,2,26.32,52.64,13.5
OI001052_183,O001052,D0032,咖啡,2,8.26,16.52,6.52
OI001052_184,O001052,D0005,糖醋排骨,3,17.99,53.97,23.46
OI001053_185,O001053,D0012,拍黄瓜,3,13.71,41.13,15.51
OI001053_186,O001053,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001053_187,O001053,D0022,番茄蛋汤,3,54.77,164.31,70.59
OI001053_188,O001053,D0003,麻婆豆腐,1,16.18,16.18,5.27
OI001053_189,O001053,D0031,奶茶,3,16.92,50.76,17.1
OI001054_190,O001054,D0014,蒜泥白肉,2,29.6,59.2,25.76
OI001054_191,O001054,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001054_192,O001054,D0006,水煮鱼,3,31.45,94.35,35.46
OI001054_193,O001054,D0011,夫妻肺片,2,29.36,58.72,25.68
OI001055_194,O001055,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001055_195,O001055,D0021,葱油饼,3,67.6,202.8,72.57
OI001056_196,O001056,D0016,面条,3,26.32,78.96,20.25
OI001056_197,O001056,D0021,葱油饼,3,67.6,202.8,72.57
OI001057_198,O001057,D0004,红烧肉,1,56.3,56.3,23.16
OI001057_199,O001057,D0032,咖啡,2,8.26,16.52,6.52
OI001057_200,O001057,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001058_201,O001058,D0038,双皮奶,2,81.48,162.96,60.26
OI001058_202,O001058,D0007,回锅肉,2,23.38,46.76,12.34
OI001058_203,O001058,D0029,雪碧,3,62.42,187.26,51.12
OI001058_204,O001058,D0005,糖醋排骨,3,17.99,53.97,23.46
OI001058_205,O001058,D0027,豆腐汤,2,38.78,77.56,28.64
OI001058_206,O001058,D0006,水煮鱼,1,31.45,31.45,11.82
OI001059_207,O001059,D0016,面条,2,26.32,52.64,13.5
OI001059_208,O001059,D0038,双皮奶,1,81.48,81.48,30.13
OI001059_209,O001059,D0024,酸辣汤,2,48.76,97.52,26.16
OI001059_210,O001059,D0033,柠檬水,1,29.07,29.07,10.18
OI001059_211,O001059,D0002,鱼香肉丝,1,41.81,41.81,12.78
OI001060_212,O001060,D0032,咖啡,1,8.26,8.26,3.26
OI001060_213,O001060,D0003,麻婆豆腐,1,16.18,16.18,5.27
OI001060_214,O001060,D0035,蛋糕,3,31.88,95.64,36.12
OI001060_215,O001060,D0001,宫保鸡丁,2,72.75,145.5,36.56
OI001060_216,O001060,D0039,红豆沙,2,9.56,19.12,8.34
OI001060_217,O001060,D0028,可乐,1,50.33,50.33,22.36
OI001061_218,O001061,D0016,面条,2,26.32,52.64,13.5
OI001061_219,O001061,D0020,馒头,3,44.71,134.13,40.65
OI001061_220,O001061,D0030,橙汁,3,68.07,204.21,82.44
OI001061_221,O001061,D0039,红豆沙,2,9.56,19.12,8.34
OI001062_222,O001062,D0013,凉拌木耳,2,66.33,132.66,37.5
OI001062_223,O001062,D0020,馒头,3,44.71,134.13,40.65
OI001063_224,O001063,D0026,鸡汤,1,71.37,71.37,23.87
OI001063_225,O001063,D0022,番茄蛋汤,3,54.77,164.31,70.59
OI001063_226,O001063,D0006,水煮鱼,2,31.45,62.9,23.64
OI001063_227,O001063,D0033,柠檬水,1,29.07,29.07,10.18
OI001063_228,O001063,D0035,蛋糕,1,31.88,31.88,12.04
OI001063_229,O001063,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001064_230,O001064,D0015,米饭,1,52.56,52.56,20.34
OI001065_231,O001065,D0039,红豆沙,2,9.56,19.12,8.34
OI001065_232,O001065,D0021,葱油饼,1,67.6,67.6,24.19
OI001065_233,O001065,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001065_234,O001065,D0004,红烧肉,3,56.3,168.9,69.48
OI001066_235,O001066,D0033,柠檬水,3,29.07,87.21,30.54
OI001066_236,O001066,D0023,紫菜蛋花汤,1,36.96,36.96,16.61
OI001066_237,O001066,D0034,冰淇淋,2,48.61,97.22,26.38
OI001067_238,O001067,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001067_239,O001067,D0002,鱼香肉丝,1,41.81,41.81,12.78
OI001068_240,O001068,D0012,拍黄瓜,3,13.71,41.13,15.51
OI001068_241,O001068,D0021,葱油饼,2,67.6,135.2,48.38
OI001068_242,O001068,D0015,米饭,1,52.56,52.56,20.34
OI001068_243,O001068,D0019,饺子,3,47.94,143.82,61.41
OI001068_244,O001068,D0029,雪碧,3,62.42,187.26,51.12
OI001068_245,O001068,D0004,红烧肉,1,56.3,56.3,23.16
OI001069_246,O001069,D0009,凉拌黄瓜,1,30.24,30.24,11.4
OI001069_247,O001069,D0025,排骨汤,3,76.89,230.67,64.71
OI001069_248,O001069,D0019,饺子,3,47.94,143.82,61.41
OI001070_249,O001070,D0031,奶茶,1,16.92,16.92,5.7
OI001070_250,O001070,D0029,雪碧,1,62.42,62.42,17.04
OI001071_251,O001071,D0035,蛋糕,1,31.88,31.88,12.04
OI001071_252,O001071,D0009,凉拌黄瓜,1,30.24,30.24,11.4
OI001071_253,O001071,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001072_254,O001072,D0019,饺子,1,47.94,47.94,20.47
OI001072_255,O001072,D0037,西米露,1,51.15,51.15,20.75
OI001072_256,O001072,D0013,凉拌木耳,2,66.33,132.66,37.5
OI001072_257,O001072,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001072_258,O001072,D0021,葱油饼,2,67.6,135.2,48.38
OI001073_259,O001073,D0007,回锅肉,1,23.38,23.38,6.17
OI001073_260,O001073,D0023,紫菜蛋花汤,1,36.96,36.96,16.61
OI001073_261,O001073,D0032,咖啡,2,8.26,16.52,6.52
OI001073_262,O001073,D0034,冰淇淋,1,48.61,48.61,13.19
OI001074_263,O001074,D0037,西米露,2,51.15,102.3,41.5
OI001074_264,O001074,D0029,雪碧,2,62.42,124.84,34.08
OI001074_265,O001074,D0031,奶茶,2,16.92,33.84,11.4
OI001074_266,O001074,D0005,糖醋排骨,2,17.99,35.98,15.64
OI001075_267,O001075,D0030,橙汁,2,68.07,136.14,54.96
OI001075_268,O001075,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001076_269,O001076,D0036,布丁,1,23.91,23.91,7.77
OI001076_270,O001076,D0010,口水鸡,1,21.01,21.01,6.75
OI001076_271,O001076,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001076_272,O001076,D0028,可乐,2,50.33,100.66,44.72
OI001076_273,O001076,D0017,炒饭,3,40.09,120.27,31.65
OI001077_274,O001077,D0032,咖啡,1,8.26,8.26,3.26
OI001077_275,O001077,D0033,柠檬水,2,29.07,58.14,20.36
OI001077_276,O001077,D0007,回锅肉,3,23.38,70.14,18.51
OI001078_277,O001078,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001078_278,O001078,D0033,柠檬水,1,29.07,29.07,10.18
OI001078_279,O001078,D0017,炒饭,3,40.09,120.27,31.65
OI001078_280,O001078,D0014,蒜泥白肉,1,29.6,29.6,12.88
OI001078_281,O001078,D0006,水煮鱼,2,31.45,62.9,23.64
OI001079_282,O001079,D0001,宫保鸡丁,2,72.75,145.5,36.56
OI001079_283,O001079,D0017,炒饭,1,40.09,40.09,10.55
OI001079_284,O001079,D0038,双皮奶,1,81.48,81.48,30.13
OI001079_285,O001079,D0037,西米露,2,51.15,102.3,41.5
OI001080_286,O001080,D0006,水煮鱼,2,31.45,62.9,23.64
OI001080_287,O001080,D0027,豆腐汤,2,38.78,77.56,28.64
OI001080_288,O001080,D0003,麻婆豆腐,2,16.18,32.36,10.54
OI001081_289,O001081,D0018,包子,2,78.11,156.22,48.88
OI001081_290,O001081,D0017,炒饭,3,40.09,120.27,31.65
OI001081_291,O001081,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001081_292,O001081,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001081_293,O001081,D0021,葱油饼,1,67.6,67.6,24.19
OI001081_294,O001081,D0005,糖醋排骨,2,17.99,35.98,15.64
OI001082_295,O001082,D0032,咖啡,3,8.26,24.78,9.78
OI001082_296,O001082,D0013,凉拌木耳,2,66.33,132.66,37.5
OI001083_297,O001083,D0021,葱油饼,1,67.6,67.6,24.19
OI001083_298,O001083,D0002,鱼香肉丝,1,41.81,41.81,12.78
OI001084_299,O001084,D0019,饺子,3,47.94,143.82,61.41
OI001085_300,O001085,D0019,饺子,2,47.94,95.88,40.94
OI001085_301,O001085,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001085_302,O001085,D0022,番茄蛋汤,1,54.77,54.77,23.53
OI001085_303,O001085,D0034,冰淇淋,1,48.61,48.61,13.19
OI001085_304,O001085,D0039,红豆沙,1,9.56,9.56,4.17
OI001085_305,O001085,D0025,排骨汤,3,76.89,230.67,64.71
OI001086_306,O001086,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001086_307,O001086,D0003,麻婆豆腐,2,16.18,32.36,10.54
OI001087_308,O001087,D0035,蛋糕,1,31.88,31.88,12.04
OI001087_309,O001087,D0027,豆腐汤,1,38.78,38.78,14.32
OI001087_310,O001087,D0021,葱油饼,2,67.6,135.2,48.38
OI001087_311,O001087,D0016,面条,3,26.32,78.96,20.25
OI001088_312,O001088,D0012,拍黄瓜,3,13.71,41.13,15.51
OI001088_313,O001088,D0033,柠檬水,3,29.07,87.21,30.54
OI001088_314,O001088,D0003,麻婆豆腐,1,16.18,16.18,5.27
OI001088_315,O001088,D0004,红烧肉,1,56.3,56.3,23.16
OI001089_316,O001089,D0027,豆腐汤,2,38.78,77.56,28.64
OI001089_317,O001089,D0007,回锅肉,1,23.38,23.38,6.17
OI001089_318,O001089,D0012,拍黄瓜,3,13.71,41.13,15.51
OI001089_319,O001089,D0024,酸辣汤,1,48.76,48.76,13.08
OI001089_320,O001089,D0020,馒头,1,44.71,44.71,13.55
OI001089_321,O001089,D0025,排骨汤,2,76.89,153.78,43.14
OI001090_322,O001090,D0015,米饭,3,52.56,157.68,61.02
OI001090_323,O001090,D0011,夫妻肺片,1,29.36,29.36,12.84
OI001090_324,O001090,D0014,蒜泥白肉,3,29.6,88.8,38.64
OI001090_325,O001090,D0025,排骨汤,3,76.89,230.67,64.71
OI001090_326,O001090,D0002,鱼香肉丝,2,41.81,83.62,25.56
OI001091_327,O001091,D0022,番茄蛋汤,2,54.77,109.54,47.06
OI001091_328,O001091,D0029,雪碧,2,62.42,124.84,34.08
OI001091_329,O001091,D0012,拍黄瓜,3,13.71,41.13,15.51
OI001091_330,O001091,D0014,蒜泥白肉,3,29.6,88.8,38.64
OI001092_331,O001092,D0031,奶茶,3,16.92,50.76,17.1
OI001092_332,O001092,D0030,橙汁,3,68.07,204.21,82.44
OI001092_333,O001092,D0006,水煮鱼,2,31.45,62.9,23.64
OI001093_334,O001093,D0037,西米露,1,51.15,51.15,20.75
OI001093_335,O001093,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001093_336,O001093,D0019,饺子,2,47.94,95.88,40.94
OI001093_337,O001093,D0031,奶茶,2,16.92,33.84,11.4
OI001093_338,O001093,D0017,炒饭,2,40.09,80.18,21.1
OI001093_339,O001093,D0032,咖啡,1,8.26,8.26,3.26
OI001094_340,O001094,D0035,蛋糕,2,31.88,63.76,24.08
OI001094_341,O001094,D0032,咖啡,3,8.26,24.78,9.78
OI001094_342,O001094,D0002,鱼香肉丝,2,41.81,83.62,25.56
OI001094_343,O001094,D0015,米饭,1,52.56,52.56,20.34
OI001094_344,O001094,D0021,葱油饼,2,67.6,135.2,48.38
OI001095_345,O001095,D0010,口水鸡,2,21.01,42.02,13.5
OI001095_346,O001095,D0008,小炒黄牛肉,3,86.82,260.46,109.68
OI001095_347,O001095,D0038,双皮奶,2,81.48,162.96,60.26
OI001095_348,O001095,D0009,凉拌黄瓜,3,30.24,90.72,34.2
OI001095_349,O001095,D0032,咖啡,1,8.26,8.26,3.26
OI001096_350,O001096,D0025,排骨汤,3,76.89,230.67,64.71
OI001096_351,O001096,D0001,宫保鸡丁,3,72.75,218.25,54.84
OI001096_352,O001096,D0008,小炒黄牛肉,3,86.82,260.46,109.68
OI001097_353,O001097,D0026,鸡汤,2,71.37,142.74,47.74
OI001097_354,O001097,D0036,布丁,1,23.91,23.91,7.77
OI001097_355,O001097,D0035,蛋糕,1,31.88,31.88,12.04
OI001097_356,O001097,D0020,馒头,2,44.71,89.42,27.1
OI001097_357,O001097,D0039,红豆沙,1,9.56,9.56,4.17
OI001098_358,O001098,D0039,红豆沙,3,9.56,28.68,12.51
OI001098_359,O001098,D0016,面条,2,26.32,52.64,13.5
OI001098_360,O001098,D0036,布丁,3,23.91,71.73,23.31
OI001098_361,O001098,D0028,可乐,3,50.33,150.99,67.08
OI001098_362,O001098,D0030,橙汁,1,68.07,68.07,27.48
OI001098_363,O001098,D0013,凉拌木耳,1,66.33,66.33,18.75
OI001099_364,O001099,D0005,糖醋排骨,3,17.99,53.97,23.46
OI001099_365,O001099,D0001,宫保鸡丁,3,72.75,218.25,54.84
OI001099_366,O001099,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001099_367,O001099,D0037,西米露,3,51.15,153.45,62.25
OI001099_368,O001099,D0027,豆腐汤,1,38.78,38.78,14.32
OI001100_369,O001100,D0037,西米露,2,51.15,102.3,41.5
OI001100_370,O001100,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001100_371,O001100,D0033,柠檬水,2,29.07,58.14,20.36
OI001100_372,O001100,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001101_373,O001101,D0036,布丁,3,23.91,71.73,23.31
OI001101_374,O001101,D0025,排骨汤,3,76.89,230.67,64.71
OI001101_375,O001101,D0003,麻婆豆腐,3,16.18,48.54,15.81
OI001102_376,O001102,D0008,小炒黄牛肉,2,86.82,173.64,73.12
OI001103_377,O001103,D0033,柠檬水,2,29.07,58.14,20.36
OI001103_378,O001103,D0038,双皮奶,3,81.48,244.44,90.39
OI001103_379,O001103,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001103_380,O001103,D0036,布丁,2,23.91,47.82,15.54
OI001103_381,O001103,D0017,炒饭,3,40.09,120.27,31.65
OI001104_382,O001104,D0003,麻婆豆腐,2,16.18,32.36,10.54
OI001105_383,O001105,D0006,水煮鱼,2,31.45,62.9,23.64
OI001105_384,O001105,D0038,双皮奶,3,81.48,244.44,90.39
OI001105_385,O001105,D0033,柠檬水,3,29.07,87.21,30.54
OI001105_386,O001105,D0005,糖醋排骨,1,17.99,17.99,7.82
OI001106_387,O001106,D0029,雪碧,2,62.42,124.84,34.08
OI001106_388,O001106,D0017,炒饭,2,40.09,80.18,21.1
OI001107_389,O001107,D0008,小炒黄牛肉,3,86.82,260.46,109.68
OI001107_390,O001107,D0023,紫菜蛋花汤,1,36.96,36.96,16.61
OI001107_391,O001107,D0002,鱼香肉丝,1,41.81,41.81,12.78
